5.872650146484375000e-01,3.371334552764892578e+00
-6.710672378540039062e-02,-2.352404594421386719e-01
7.898921966552734375e-01,4.546870708465576172e+00
3.338682174682617188e+00,1.201522445678710938e+01
3.114091873168945312e+00,1.071932601928710938e+01
1.890561103820800781e+00,7.938948154449462891e+00
3.219909667968750000e+00,1.168400382995605469e+01
3.258502960205078125e+00,1.390932655334472656e+01
3.198993682861328125e+00,1.179035949707031250e+01
3.018044471740722656e+00,1.088484001159667969e+01
3.063380241394042969e+00,1.137882995605468750e+01
2.033531188964843750e+00,8.417636871337890625e+00
1.005401611328125000e+00,5.610094547271728516e+00
2.929677963256835938e+00,1.062505912780761719e+01
1.382021903991699219e+00,6.734101772308349609e+00
3.324938774108886719e+00,1.155616378784179688e+01
1.126082420349121094e+00,4.700033664703369141e+00
2.936716079711914062e+00,1.061100006103515625e+01
3.227883338928222656e+00,1.142863082885742188e+01
3.233041763305664062e+00,1.260431480407714844e+01
3.153461456298828125e+00,1.118363952636718750e+01
3.326698303222656250e+00,1.209405136108398438e+01
1.817441940307617188e+00,8.048511505126953125e+00
2.744365692138671875e+00,1.005902671813964844e+01
1.585523605346679688e+00,7.450123310089111328e+00
3.178550720214843750e+00,1.174115180969238281e+01
3.233070373535156250e+00,1.215020561218261719e+01
2.432366371154785156e+00,9.378946304321289062e+00
2.796442031860351562e+00,1.026018714904785156e+01
3.432586669921875000e+00,1.384104537963867188e+01
2.394704818725585938e+00,1.003679656982421875e+01
2.915310859680175781e+00,1.005649566650390625e+01
3.085798263549804688e+00,1.113156700134277344e+01
3.669828414916992188e+00,1.223458671569824219e+01
2.880709648132324219e+00,1.103118896484375000e+01
8.150959014892578125e-01,4.724805355072021484e+00
2.475304603576660156e+00,8.601108551025390625e+00
3.128103256225585938e+00,1.067225456237792969e+01
2.173776626586914062e-01,2.083230018615722656e+00
3.140209197998046875e+00,1.171795654296875000e+01
3.233929634094238281e+00,1.083389472961425781e+01
5.396432876586914062e-01,2.376482486724853516e+00
1.736196517944335938e+00,7.654223918914794922e+00
1.215661048889160156e+00,6.331320285797119141e+00
2.973307609558105469e+00,1.067936706542968750e+01
1.261650085449218750e+00,6.552406787872314453e+00
2.395113945007324219e+00,8.506568908691406250e+00
3.340076446533203125e+00,1.278841400146484375e+01
3.121567726135253906e+00,1.139523696899414062e+01
3.038767814636230469e+00,1.098462486267089844e+01
1.647752761840820312e+00,7.654283046722412109e+00
2.787090301513671875e+00,1.033368873596191406e+01
2.995574951171875000e+00,1.107159805297851562e+01
4.240655899047851562e-02,1.334066390991210938e+00
2.637584686279296875e+00,9.084648132324218750e+00
3.088264465332031250e+00,1.119879150390625000e+01
3.111648559570312500e+00,1.171540069580078125e+01
3.357460021972656250e+00,1.300682258605957031e+01
7.080078125000000000e-01,4.097516536712646484e+00
1.033463478088378906e+00,5.530389308929443359e+00
9.837932586669921875e-01,5.159546375274658203e+00
1.722479820251464844e+00,7.711038112640380859e+00
3.243053436279296875e+00,1.211684608459472656e+01
2.951086997985839844e+00,1.065952110290527344e+01
1.307002067565917969e+00,6.527021884918212891e+00
3.204347610473632812e+00,1.049381828308105469e+01
2.618944168090820312e+00,9.717779159545898438e+00
3.373332977294921875e+00,1.215656471252441406e+01
